2.625	2.625	-0.860474
2.75	2.625	-0.789866
2.875	2.625	-0.70694
3	2.625	-0.61299
3.125	2.625	-0.509482
3.25	2.625	-0.398032
3.375	2.625	-0.280379
3.5	2.625	-0.15836
3.625	2.625	-0.0338798
3.75	2.625	0.0911178
3.875	2.625	0.214682
4	2.625	0.334882
4.125	2.625	0.449841
4.25	2.625	0.557764
4.375	2.625	0.656965
4.5	2.625	0.745893
4.625	2.625	0.823157
4.75	2.625	0.887549
4.875	2.625	0.93806
5	2.625	0.973898
0	2.75	0.381661
0.125	2.75	0.263363
0.25	2.75	0.14094
0.375	2.75	0.0163052
0.5	2.75	-0.108597
0.625	2.75	-0.231816
0.75	2.75	-0.35143
0.875	2.75	-0.46557
1	2.75	-0.572455
1.125	2.75	-0.670417
1.25	2.75	-0.757926
1.375	2.75	-0.833617
